epoch,dense_23_acc,dense_23_loss,dense_24_acc,dense_24_loss,dense_25_acc,dense_25_loss,dense_26_acc,dense_26_loss,loss,val_dense_23_acc,val_dense_23_loss,val_dense_24_acc,val_dense_24_loss,val_dense_25_acc,val_dense_25_loss,val_dense_26_acc,val_dense_26_loss,val_loss
0,0.95777494,0.111306265,0.9557738,0.11481223,0.98118883,0.05001248,0.9856536,0.038967263,0.3151241549578772,0.9755931,0.070884116,0.96739537,0.08277913,0.9879518,0.033618163,0.9930443,0.01960322,0.20688583835841604
1,0.9714382,0.08678655,0.97185916,0.08239032,0.98677146,0.03798039,0.99071866,0.027334923,0.2344988956418667,0.97484785,0.07601483,0.9763383,0.07121228,0.9813067,0.04904637,0.9896907,0.02679236,0.22306640059807062
2,0.97162455,0.089686565,0.9723008,0.08925604,0.9869233,0.047089495,0.9913466,0.027559282,0.25359691349394625,0.9771457,0.06940125,0.9762141,0.06959264,0.98987705,0.032654624,0.9941622,0.022587892,0.19423701262761356
3,0.971666,0.09827932,0.9740329,0.08867208,0.98706126,0.05598024,0.9900976,0.04600478,0.2889406836895733,0.97484785,0.098865926,0.9737921,0.12647705,0.98708236,0.05089697,0.98521924,0.07863599,0.3548775321438904
4,0.97067916,0.10125103,0.9742813,0.085684925,0.9858882,0.07028269,0.9884069,0.04877318,0.30599548954546546,0.97776675,0.08152783,0.9796299,0.066635,0.9878276,0.048451938,0.9936654,0.020023298,0.2166382389211136
